course_model_id,question_id,weight
10,17,0.04838709677419355
11,17,0.04477611940298507
12,17,0.07575757575757576
13,17,0.07575757575757576
14,17,0.046153846153846156
15,17,0.047619047619047616
16,17,0.046875
17,17,0.07352941176470588
18,17,0.05
1,18,0.06578947368421052
2,18,0.06060606060606061
3,18,0.06060606060606061
4,18,0.06779661016949153
5,18,0.046875
6,18,0.046153846153846156
7,18,0.05084745762711865
8,18,0.04477611940298507
9,18,0.04477611940298507
10,18,0.04838709677419355
11,18,0.04477611940298507
12,18,0.045454545454545456
13,18,0.07575757575757576
14,18,0.07692307692307693
15,18,0.047619047619047616
16,18,0.046875
17,18,0.04411764705882353
18,18,0.08333333333333333
